Acheron|(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
Wheeler Peak|a mountain peak in northeastern New Mexico in the Rocky Mountains
White|a tributary of the Mississippi River that flows southeastward through northern Arkansas and southern Missouri
White Nile|a headstream of the Nile; joins the Blue Nile at Khartoum to form the Nile
White Sea|a large inlet of the Barents Sea in the northwestern part of European Russia
Whitney|the highest peak in the Sierra Nevada range in California (14,494 feet high)
Wight|an isle and county of southern England in the English Channel
Wilderness|a wooded region in northeastern Virginia near Spotsylvania where bloody but inconclusive battles were fought in the American Civil War
Willamette|a river in western Oregon that flows north into the Columbia River near Portland
Wilson|a peak in the San Juan mountains of Colorado (14,246 feet high)
Windward Passage|a channel between eastern Cuba and western Haiti that connects the Atlantic Ocean with the Caribbean Sea
Winnipeg|a lake in southern Canada in Manitoba
Wisconsin|a tributary of the Mississippi River in Wisconsin
Yalu|river in eastern Asia; rises in North Korea and flows southwest to Korea Bay (forming part of the border between North Korea and China)
Chang Jiang|the longest river of Asia; flows eastward from Tibet into the East China Sea near Shanghai
Yazoo|a river that rises in west central Mississippi and flows southwest to empty into the Mississippi River above Vicksburg
Yellow Sea|part of the Pacific off the east coast of Asia
Yellowstone|a tributary of the Missouri River that flows through the Yellowstone National Park
Yenisei|a Russian river in Siberia; rises in mountains near the Mongolian border and flows generally northward into the Kara Sea
Yerupaja|a mountain peak in the Andes in Peru (21,709 feet high)
Yosemite|a series of waterfalls in Yosemite National Park in California; is reduced to a trickle for part of each year
Yukon|a North American river that flows westward from the Yukon Territory through central Alaska to the Bering Sea
Zambezi|an African river; flows into the Indian Ocean
Zhu Jiang|a river in southeast China that flows into the South China Sea
Zuider Zee|a former inlet of the North Sea in the northern coast of the Netherlands; sealed off from the sea in 1932 by a dam that created the IJsselmeer
